category,index,s1,r,s2
FeElectric,WOS:000348600200017,Organolead trihalide perovskite material,be emerge as,material
FeElectric,WOS:000348600200017,Organolead trihalide perovskite material,be emerge as,abundant material
FeElectric,WOS:000348600200017,Organolead trihalide perovskite material,be emerge as,material for low-cost
FeElectric,WOS:000348600200017,Organolead trihalide perovskite material,be emerge as,naturally abundant material
FeElectric,WOS:000348600200017,Organolead trihalide perovskite material,be emerge as,abundant material for low-cost
FeElectric,WOS:000348600200017,Organolead trihalide perovskite material,be emerge as,naturally abundant material for low-cost
FeElectric,WOS:000348600200017,we,show,that
FeElectric,WOS:000348600200017,otp-based photovoltaic device,be with,vertical cell configuration
FeElectric,WOS:000348600200017,direction,apply,small field
FeElectric,WOS:000348600200017,photocurrent direction,apply,electric field of < 1v mu m
FeElectric,WOS:000348600200017,direction,can,can switch repeatedly
FeElectric,WOS:000348600200017,photocurrent direction,apply,field of 1v mu m
FeElectric,WOS:000348600200017,direction,apply,field
FeElectric,WOS:000348600200017,photocurrent direction,apply,small field of < 1v mu m
FeElectric,WOS:000348600200017,direction,can,can switch
FeElectric,WOS:000348600200017,direction,apply,electric field of < 1v mu m
FeElectric,WOS:000348600200017,photocurrent direction,apply,field
FeElectric,WOS:000348600200017,photocurrent direction,apply,electric field
FeElectric,WOS:000348600200017,photocurrent direction,apply,small electric field
FeElectric,WOS:000348600200017,photocurrent direction,apply,electric field of 1v mu m
FeElectric,WOS:000348600200017,direction,apply,small electric field of 1v mu m
FeElectric,WOS:000348600200017,photocurrent direction,apply,small electric field of < 1v mu m
FeElectric,WOS:000348600200017,photocurrent direction,apply,small electric field of 1v mu m
FeElectric,WOS:000348600200017,photocurrent direction,apply,small field of 1v mu m
FeElectric,WOS:000348600200017,photocurrent direction,apply,small field
FeElectric,WOS:000348600200017,direction,apply,small field of 1v mu m
FeElectric,WOS:000348600200017,direction,apply,small electric field of < 1v mu m
FeElectric,WOS:000348600200017,direction,apply,electric field of 1v mu m
FeElectric,WOS:000348600200017,direction,apply,small electric field
FeElectric,WOS:000348600200017,direction,apply,small field of < 1v mu m
FeElectric,WOS:000348600200017,photocurrent direction,apply,field of < 1v mu m
FeElectric,WOS:000348600200017,photocurrent direction,can,can switch
FeElectric,WOS:000348600200017,direction,apply,electric field
FeElectric,WOS:000348600200017,direction,apply,field of < 1v mu m
FeElectric,WOS:000348600200017,photocurrent direction,can,can switch repeatedly
FeElectric,WOS:000348600200017,direction,apply,field of 1v mu m
FeElectric,WOS:000348600200017,one sun illumination,be in,OTP device
FeElectric,WOS:000348600200017,one sun illumination,be with,vertical architecture
FeElectric,WOS:000348600200017,field-switchable photovoltaic effect,can,can explain by formation of structure
FeElectric,WOS:000348600200017,field-switchable effect,can,can explain by formation of p-i-n structure induce by ion drift in layer
FeElectric,WOS:000348600200017,field-switchable effect,can,can explain by formation of reversible structure induce in perovskite layer
FeElectric,WOS:000348600200017,field-switchable effect,can,can explain by formation of reversible structure induce
FeElectric,WOS:000348600200017,field-switchable photovoltaic effect,can,can explain by formation of p-i-n structure induce in layer
FeElectric,WOS:000348600200017,photovoltaic effect,can,can explain by formation of structure induce by ion drift in layer
FeElectric,WOS:000348600200017,effect,can,can explain by formation of structure induce in perovskite layer
FeElectric,WOS:000348600200017,effect,can,can explain by formation of reversible structure induce in layer
FeElectric,WOS:000348600200017,effect,can,can explain by formation of reversible structure induce by ion drift
FeElectric,WOS:000348600200017,field-switchable effect,can,can explain by formation of p-i-n structure induce in layer
FeElectric,WOS:000348600200017,effect,can,can explain by formation of structure induce in layer
FeElectric,WOS:000348600200017,photovoltaic effect,can,can explain by formation of reversible p-i-n structure induce by ion drift in perovskite layer
FeElectric,WOS:000348600200017,field-switchable effect,can,can explain
FeElectric,WOS:000348600200017,effect,can,can explain by formation of structure induce by ion drift in perovskite layer
FeElectric,WOS:000348600200017,field-switchable effect,can,can explain by formation of reversible structure induce in layer
FeElectric,WOS:000348600200017,photovoltaic effect,can,can explain by formation of reversible structure induce in perovskite layer
FeElectric,WOS:000348600200017,field-switchable photovoltaic effect,can,can explain by formation of reversible structure induce in perovskite layer
FeElectric,WOS:000348600200017,effect,can,can explain by formation of reversible p-i-n structure induce by ion drift in perovskite layer
FeElectric,WOS:000348600200017,field-switchable effect,can,can explain by formation of p-i-n structure induce
FeElectric,WOS:000348600200017,field-switchable photovoltaic effect,can,can explain by formation of reversible structure induce
FeElectric,WOS:000348600200017,photovoltaic effect,can,can explain
FeElectric,WOS:000348600200017,photovoltaic effect,can,can explain by formation of structure induce by ion drift
FeElectric,WOS:000348600200017,field-switchable effect,can,can explain by formation of structure induce
FeElectric,WOS:000348600200017,effect,can,can explain by formation of p-i-n structure induce by ion drift
FeElectric,WOS:000348600200017,photovoltaic effect,can,can explain by formation of structure induce by ion drift in perovskite layer
FeElectric,WOS:000348600200017,photovoltaic effect,can,can explain by formation of p-i-n structure induce by ion drift
FeElectric,WOS:000348600200017,effect,can,can explain by formation of reversible structure induce in perovskite layer
FeElectric,WOS:000348600200017,effect,can,can explain by formation of p-i-n structure induce
FeElectric,WOS:000348600200017,photovoltaic effect,can,can explain by formation of p-i-n structure induce in layer
FeElectric,WOS:000348600200017,field-switchable effect,can,can explain by formation of structure induce in perovskite layer
FeElectric,WOS:000348600200017,effect,can,can explain by formation of p-i-n structure
FeElectric,WOS:000348600200017,effect,can,can explain by formation of reversible structure induce
FeElectric,WOS:000348600200017,effect,can,can explain by formation of reversible structure induce by ion drift in layer
FeElectric,WOS:000348600200017,photovoltaic effect,can,can explain by formation of reversible structure induce by ion drift in layer
FeElectric,WOS:000348600200017,field-switchable effect,can,can explain by formation of p-i-n structure
FeElectric,WOS:000348600200017,field-switchable effect,can,can explain by formation of reversible p-i-n structure induce in layer
FeElectric,WOS:000348600200017,field-switchable photovoltaic effect,can,can explain by formation of reversible p-i-n structure induce
FeElectric,WOS:000348600200017,field-switchable photovoltaic effect,can,can explain by formation of reversible structure induce in layer
FeElectric,WOS:000348600200017,field-switchable photovoltaic effect,can,can explain
FeElectric,WOS:000348600200017,effect,can,can explain by formation of reversible p-i-n structure
FeElectric,WOS:000348600200017,photovoltaic effect,can,can explain by formation of reversible structure induce by ion drift in perovskite layer
FeElectric,WOS:000348600200017,field-switchable photovoltaic effect,can,can explain by formation of reversible structure
FeElectric,WOS:000348600200017,field-switchable photovoltaic effect,can,can explain by formation of reversible p-i-n structure induce by ion drift in layer
FeElectric,WOS:000348600200017,field-switchable effect,can,can explain by formation of reversible p-i-n structure
FeElectric,WOS:000348600200017,photovoltaic effect,can,can explain by formation of p-i-n structure induce in perovskite layer
FeElectric,WOS:000348600200017,photovoltaic effect,can,can explain by formation of reversible p-i-n structure induce by ion drift in layer
FeElectric,WOS:000348600200017,photovoltaic effect,can,can explain by formation of reversible structure
FeElectric,WOS:000348600200017,field-switchable effect,can,can explain by formation
FeElectric,WOS:000348600200017,field-switchable effect,can,can explain by formation of p-i-n structure induce in perovskite layer
FeElectric,WOS:000348600200017,effect,can,can explain by formation of structure induce by ion drift in layer
FeElectric,WOS:000348600200017,effect,can,can explain by formation of structure induce by ion drift
FeElectric,WOS:000348600200017,field-switchable photovoltaic effect,can,can explain by formation of structure induce in perovskite layer
FeElectric,WOS:000348600200017,photovoltaic effect,can,can explain by formation of reversible structure induce
FeElectric,WOS:000348600200017,field-switchable photovoltaic effect,can,can explain by formation of structure induce in layer
FeElectric,WOS:000348600200017,effect,can,can explain by formation of reversible structure
FeElectric,WOS:000348600200017,field-switchable photovoltaic effect,can,can explain by formation of p-i-n structure induce by ion drift
FeElectric,WOS:000348600200017,field-switchable photovoltaic effect,can,can explain by formation of reversible structure induce by ion drift in perovskite layer
FeElectric,WOS:000348600200017,effect,can,can explain by formation
FeElectric,WOS:000348600200017,photovoltaic effect,can,can explain by formation of reversible p-i-n structure
FeElectric,WOS:000348600200017,effect,can,can explain by formation of reversible p-i-n structure induce
FeElectric,WOS:000348600200017,photovoltaic effect,can,can explain by formation of reversible structure induce in layer
FeElectric,WOS:000348600200017,photovoltaic effect,can,can explain by formation of reversible p-i-n structure induce in layer
FeElectric,WOS:000348600200017,field-switchable photovoltaic effect,can,can explain by formation of reversible p-i-n structure induce by ion drift
FeElectric,WOS:000348600200017,effect,can,can explain by formation of reversible p-i-n structure induce in perovskite layer
FeElectric,WOS:000348600200017,field-switchable effect,can,can explain by formation of p-i-n structure induce by ion drift in perovskite layer
FeElectric,WOS:000348600200017,field-switchable effect,can,can explain by formation of reversible p-i-n structure induce
FeElectric,WOS:000348600200017,field-switchable photovoltaic effect,can,can explain by formation of structure induce by ion drift in perovskite layer
FeElectric,WOS:000348600200017,field-switchable effect,can,can explain by formation of reversible p-i-n structure induce by ion drift in layer
